||RANDOM||
       n	         bubble	      insertion	          merge	           heap	          quick	       counting	
    1000	     0.10630858	     0.04295244	     0.00419509	     0.00452449	     0.00267532	     0.00090032	
    2000	     0.41789534	     0.17234459	     0.00898132	     0.00964499	     0.00650694	     0.00099058	
    3000	     1.31785121	     0.56757782	     0.02012296	     0.02258875	     0.01434360	     0.00226204	
    4000	     1.86220529	     0.82660489	     0.02296298	     0.02672775	     0.01688406	     0.00241117	
    5000	     3.67662578	     1.19681892	     0.02948070	     0.03414125	     0.02259402	     0.00331872	
    6000	     4.60538690	     2.18571837	     0.02975073	     0.03394446	     0.02401130	     0.00286832	
    7000	     6.98343935	     3.05127456	     0.05849307	     0.06897380	     0.05070906	     0.00623124	
    8000	    10.14684787	     4.43721156	     0.06770766	     0.08036890	     0.05969653	     0.00681217	
    9000	    12.37127688	     5.27077451	     0.07632248	     0.08968401	     0.06698012	     0.00813649	
   10000	    16.77790241	     6.45306785	     0.06926348	     0.07989874	     0.06248977	     0.00687745	
