||SORTED||
       n	         bubble	      insertion	          merge	           heap	          quick	       counting	
    1000	     0.05200338	     0.00100017	     0.00301242	     0.00497794	     0.11896110	     0.00000000	
    2000	     0.20609283	     0.00107884	     0.00799751	     0.01157331	     0.49360919	     0.00100565	
    3000	     0.48024535	     0.00000000	     0.01098943	     0.01600790	     1.12641978	     0.00100207	
    4000	     2.76360703	     0.00300932	     0.05033803	     0.07469416	     2.33413935	     0.00200438	
    5000	     2.24971819	     0.00099993	     0.01900077	     0.02800202	     3.08636642	     0.00199962	
    6000	     1.91661024	     0.00100040	     0.02400613	     0.03722715	     4.62596965	     0.00300026	
    7000	     2.69429851	     0.00099611	     0.03000689	     0.04700565	     9.84041071	     0.00999999	
    8000	     6.42704129	     0.00200891	     0.03299904	     0.05180979	    12.39823461	     0.01269484	
    9000	     7.24707937	     0.00101542	     0.03778625	     0.05699968	    11.39044380	     0.00499153	
   10000	     5.85839319	     0.00599909	     0.13736010	     0.21305728	    17.73497319	     0.00500655	
